timeTick, stateX, stateY, stateZ, stateVX, stateVY, stateVZ, motor1, motor2, motor3, motor4, yaw, pitch
120842, -1.6539007425308228, -1.1262075901031494, -0.0733359158039093, 0.07248423993587494, -2.812159538269043, -0.0036169884260743856, 0, 0, 0, 0, 0, 0
120863, -1.6488784551620483, -1.1500539779663086, -0.2886718213558197, 0.09517331421375275, -0.8219171166419983, -4.383718967437744, 0.0, 0.0, 0.0, 0.0, 2.2569689750671387, 0.3314933180809021
120884, -1.6460633277893066, -1.141730546951294, -0.3172197639942169, 0.2757115960121155, -0.31058594584465027, -4.6317138671875, 0.0, 0.0, 0.0, 0.0, 6.032968521118164, 2.3203670978546143
120902, -1.6403080224990845, -1.1606040000915527, -0.3445078730583191, 0.3969241678714752, -1.079382300376892, -4.607773780822754, 0.0, 0.0, 0.0, 0.0, 5.774758815765381, 3.9026594161987305
120922, -1.6337791681289673, -1.1769002676010132, -0.042466260492801666, 0.42738083004951477, -1.3466980457305908, -3.628941774368286, 0.0, 0.0, 0.0, 0.0, 5.553555011749268, 4.7128496170043945
120942, -1.6291829347610474, -1.182053804397583, -0.1222466230392456, 0.4336565434932709, -1.214675784111023, -3.951045513153076, 0.0, 0.0, 0.0, 0.0, 5.78266716003418, 4.9344000816345215
120962, -1.6246927976608276, -1.2109190225601196, -0.18561583757400513, 0.4584628939628601, -1.696889877319336, -3.9263663291931152, 0.0, 0.0, 0.0, 0.0, 5.4913105964660645, 5.26508903503418
120982, -1.621497392654419, -1.2092759609222412, -0.10196040570735931, 0.4408847391605377, -1.4330110549926758, -3.5237133502960205, 0.0, 0.0, 0.0, 0.0, 5.741757869720459, 5.303559303283691
121002, -1.6184473037719727, -1.2355296611785889, -0.15820224583148956, 0.4454025626182556, -1.863039255142212, -3.4730703830718994, 0.0, 0.0, 0.0, 0.0, 5.821878910064697, 5.2668304443359375
121023, -1.6199369430541992, -1.2229223251342773, -0.0635538175702095, 0.4163028597831726, -1.5343881845474243, -3.1185827255249023, 0.0, 0.0, 0.0, 0.0, 5.7446513175964355, 5.329688549041748
121042, -1.6191046237945557, -1.230361819267273, -0.12415813654661179, 0.39124178886413574, -1.5116660594940186, -3.3002126216888428, 0.0, 0.0, 0.0, 0.0, 5.715127468109131, 5.407382965087891
121062, -1.6189007759094238, -1.2412567138671875, -0.17228861153125763, 0.371076762676239, -1.7097381353378296, -3.2818362712860107, 0.0, 0.0, 0.0, 0.0, 5.266680717468262, 5.712092399597168
121082, -1.6169074773788452, -1.2466400861740112, -0.23493534326553345, 0.3539888262748718, -1.5292874574661255, -3.5455565452575684, 0.0, 0.0, 0.0, 0.0, 5.557194709777832, 5.532712459564209
121102, -1.6189608573913574, -1.243874430656433, -0.27336686849594116, 0.32074061036109924, -1.4331940412521362, -3.563023805618286, 0.0, 0.0, 0.0, 0.0, 5.635719299316406, 5.476587772369385
121124, -1.6212371587753296, -1.242051124572754, -0.29906103014945984, 0.2951275706291199, -1.4920412302017212, -3.4391300678253174, 0.0, 0.0, 0.0, 0.0, 5.246917724609375, 5.724795341491699
121143, -1.622315526008606, -1.2442485094070435, -0.04255048930644989, 0.2784298062324524, -1.5955843925476074, -1.6316052675247192, 0.0, 0.0, 0.0, 0.0, 5.377505302429199, 5.651623725891113
121162, -1.624130129814148, -1.2502124309539795, -0.0689004436135292, 0.2563551962375641, -1.6728156805038452, -1.6574680805206299, 0.0, 0.0, 0.0, 0.0, 5.373432636260986, 5.724427223205566
121182, -1.626950979232788, -1.243547797203064, -0.09778189659118652, 0.23441435396671295, -1.6332308053970337, -1.8324259519577026, 0.0, 0.0, 0.0, 0.0, 5.3629255294799805, 5.71268892288208
121202, -1.6284099817276, -1.2422770261764526, -0.050375793129205704, 0.21892209351062775, -1.483513355255127, -1.8641276359558105, 0.0, 0.0, 0.0, 0.0, 5.683314323425293, 5.503650665283203
121222, -1.629492163658142, -1.2488148212432861, -0.08331787586212158, 0.21045294404029846, -1.6064306497573853, -1.924850583076477, 0.0, 0.0, 0.0, 0.0, 5.252955436706543, 5.748636722564697
121243, -1.6306381225585938, -1.247918963432312, -0.12514980137348175, 0.19816499948501587, -1.4794079065322876, -2.2463791370391846, 0.0, 0.0, 0.0, 0.0, 5.234496116638184, 5.794245719909668
121262, -1.6338821649551392, -1.2362754344940186, -0.13102462887763977, 0.18068309128284454, -1.4949090480804443, -2.1703267097473145, 0.0, 0.0, 0.0, 0.0, 5.231860637664795, 5.767699718475342
121282, -1.6348127126693726, -1.2356387376785278, -0.16886813938617706, 0.17204712331295013, -1.3703168630599976, -2.410388708114624, 0.0, 0.0, 0.0, 0.0, 5.16642427444458, 5.798591613769531
121302, -1.634153127670288, -1.2564457654953003, -0.21243475377559662, 0.1823449581861496, -1.673378586769104, -2.401352643966675, 0.0, 0.0, 0.0, 0.0, 5.575650215148926, 5.564901828765869
121322, -1.6355735063552856, -1.2537808418273926, -0.23439788818359375, 0.17552529275417328, -1.6195440292358398, -2.473057746887207, 0.0, 0.0, 0.0, 0.0, 5.658200740814209, 5.526553630828857
121343, -1.6374928951263428, -1.2444531917572021, -0.23041635751724243, 0.16697952151298523, -1.6222788095474243, -2.368431329727173, 0.0, 0.0, 0.0, 0.0, 5.233939170837402, 5.79642915725708
121365, -1.6389477252960205, -1.2366904020309448, -0.24370378255844116, 0.1538911759853363, -1.3594884872436523, -2.519961357116699, 0.0, 0.0, 0.0, 0.0, 5.673549652099609, 5.515576362609863
121382, -1.637935757637024, -1.24909508228302, -0.27162957191467285, 0.16195309162139893, -1.434660792350769, -2.6118619441986084, 0.0, 0.0, 0.0, 0.0, 5.649381637573242, 5.533912181854248
121404, -1.6404725313186646, -1.2399903535842896, -0.2465362548828125, 0.15295852720737457, -1.5311177968978882, -2.2946362495422363, 0.0, 0.0, 0.0, 0.0, 5.6355485916137695, 5.55961799621582
121424, -1.6400151252746582, -1.2439613342285156, -0.2665468454360962, 0.1537148505449295, -1.4239317178726196, -2.4604127407073975, 0.0, 0.0, 0.0, 0.0, 5.603435039520264, 5.562645435333252
121442, -1.6407448053359985, -1.2423948049545288, -0.26272693276405334, 0.15181230008602142, -1.4329841136932373, -2.3857345581054688, 0.0, 0.0, 0.0, 0.0, 5.298191547393799, 5.742570877075195
121462, -1.6406915187835693, -1.2515976428985596, -0.2617753744125366, 0.15728573501110077, -1.6309891939163208, -2.2142372131347656, 0.0, 0.0, 0.0, 0.0, 5.338038444519043, 5.71662712097168
121482, -1.641100287437439, -1.246569275856018, -0.26449236273765564, 0.15274740755558014, -1.462090015411377, -2.3226206302642822, 0.0, 0.0, 0.0, 0.0, 5.6819915771484375, 5.508431434631348
121502, -1.6410109996795654, -1.254870057106018, -0.044833339750766754, 0.1555599868297577, -1.5977705717086792, -1.1938564777374268, 0.0, 0.0, 0.0, 0.0, 5.33810567855835, 5.736376762390137
121522, -1.6420007944107056, -1.2473808526992798, -0.06625908613204956, 0.15064100921154022, -1.5403343439102173, -1.3803120851516724, 0.0, 0.0, 0.0, 0.0, 5.729865074157715, 5.46664571762085
121543, -1.6416999101638794, -1.2487674951553345, -0.02737145498394966, 0.15498919785022736, -1.4580512046813965, -1.4542982578277588, 0.0, 0.0, 0.0, 0.0, 5.726261138916016, 5.479124546051025
121563, -1.6421462297439575, -1.249367117881775, -0.05075652524828911, 0.15206849575042725, -1.5427452325820923, -1.4710406064987183, 0.0, 0.0, 0.0, 0.0, 5.340878486633301, 5.764173984527588
121582, -1.6421923637390137, -1.246258020401001, -0.085110142827034, 0.15171943604946136, -1.4233115911483765, -1.8181792497634888, 0.0, 0.0, 0.0, 0.0, 5.715690612792969, 5.466163158416748
121604, -1.643778681755066, -1.2348953485488892, -0.09290965646505356, 0.14335763454437256, -1.4359380006790161, -1.7612091302871704, 0.0, 0.0, 0.0, 0.0, 5.322254180908203, 5.713639736175537
121626, -1.6432240009307861, -1.242182731628418, -0.14087000489234924, 0.14982318878173828, -1.5323286056518555, -1.9567328691482544, 0.0, 0.0, 0.0, 0.0, 5.622810363769531, 5.537132740020752
121643, -1.6438339948654175, -1.2327430248260498, -0.15694904327392578, 0.14447574317455292, -1.3567490577697754, -2.1350739002227783, 0.0, 0.0, 0.0, 0.0, 5.74282693862915, 5.404903888702393
121662, -1.6439374685287476, -1.2349265813827515, -0.17479810118675232, 0.14766578376293182, -1.465664267539978, -2.104508638381958, 0.0, 0.0, 0.0, 0.0, 5.7094950675964355, 5.437444686889648
121683, -1.6438546180725098, -1.2321383953094482, -0.2003171443939209, 0.1470874547958374, -1.3498414754867554, -2.2786974906921387, 0.0, 0.0, 0.0, 0.0, 5.60146951675415, 5.520097255706787
121703, -1.6431512832641602, -1.2424756288528442, -0.21746709942817688, 0.15706077218055725, -1.536421298980713, -2.2099406719207764, 0.0, 0.0, 0.0, 0.0, 5.309599876403809, 5.68564510345459
121722, -1.6431264877319336, -1.237069845199585, -0.23385676741600037, 0.15530595183372498, -1.3658307790756226, -2.3664090633392334, 0.0, 0.0, 0.0, 0.0, 5.242339134216309, 5.745663642883301
121744, -1.6442620754241943, -1.2300491333007812, -0.21603764593601227, 0.15293753147125244, -1.4617913961410522, -2.1252281665802, 0.0, 0.0, 0.0, 0.0, 5.2641282081604, 5.753844261169434
121762, -1.6430001258850098, -1.2418627738952637, -0.23576249182224274, 0.16112345457077026, -1.5325363874435425, -2.1707615852355957, 0.0, 0.0, 0.0, 0.0, 5.19209098815918, 5.802579402923584
121782, -1.6428948640823364, -1.237837314605713, -0.24256174266338348, 0.16024555265903473, -1.4047939777374268, -2.2761635780334473, 0.0, 0.0, 0.0, 0.0, 5.625032901763916, 5.541335105895996
121804, -1.6426724195480347, -1.2451776266098022, -0.23626437783241272, 0.16467922925949097, -1.6046781539916992, -2.0689640045166016, 0.0, 0.0, 0.0, 0.0, 5.35834264755249, 5.672031879425049
121823, -1.6431993246078491, -1.2332335710525513, -0.23325768113136292, 0.158272847533226, -1.3474584817886353, -2.2181408405303955, 0.0, 0.0, 0.0, 0.0, 5.654073238372803, 5.448901653289795
121842, -1.6425365209579468, -1.237901210784912, -0.2394380420446396, 0.16355057060718536, -1.3800528049468994, -2.2411108016967773, 0.0, 0.0, 0.0, 0.0, 5.588942527770996, 5.532392501831055
121863, -1.6435672044754028, -1.228743553161621, -0.22203773260116577, 0.15780025720596313, -1.3401992321014404, -2.1341521739959717, 0.0, 0.0, 0.0, 0.0, 5.206070423126221, 5.758315563201904
121885, -1.6440331935882568, -1.2282414436340332, -0.20668402314186096, 0.15819388628005981, -1.4805198907852173, -1.915846824645996, 0.0, 0.0, 0.0, 0.0, 5.312769412994385, 5.71162223815918
121902, -1.6433385610580444, -1.2338342666625977, -0.21327733993530273, 0.16198481619358063, -1.4888381958007812, -1.9726104736328125, 0.0, 0.0, 0.0, 0.0, 5.702425479888916, 5.479972839355469
121924, -1.643191933631897, -1.2316774129867554, -0.21658053994178772, 0.16160303354263306, -1.4020081758499146, -2.07535719871521, 0.0, 0.0, 0.0, 0.0, 5.661808013916016, 5.5270256996154785
121943, -1.6425637006759644, -1.2409626245498657, -0.21664147078990936, 0.167596235871315, -1.5721924304962158, -1.9620846509933472, 0.0, 0.0, 0.0, 0.0, 5.799679756164551, 5.419452667236328
121963, -1.6429287195205688, -1.2363858222961426, -0.21230387687683105, 0.16392986476421356, -1.4966248273849487, -1.9969216585159302, 0.0, 0.0, 0.0, 0.0, 5.692974090576172, 5.489997386932373
121983, -1.6423680782318115, -1.2369579076766968, -0.22258280217647552, 0.16624584794044495, -1.406632661819458, -2.1592326164245605, 0.0, 0.0, 0.0, 0.0, 5.613597869873047, 5.54029655456543
122002, -1.643148422241211, -1.2301167249679565, -0.2109009325504303, 0.16165977716445923, -1.3644678592681885, -2.108043670654297, 0.0, 0.0, 0.0, 0.0, 5.616421222686768, 5.569000720977783
122022, -1.6420162916183472, -1.2442699670791626, -0.2180093228816986, 0.1711709201335907, -1.5864458084106445, -2.0141918659210205, 0.0, 0.0, 0.0, 0.0, 5.33336067199707, 5.735572338104248
122043, -1.6413689851760864, -1.249287486076355, -0.22571243345737457, 0.17501792311668396, -1.5925803184509277, -2.0794761180877686, 0.0, 0.0, 0.0, 0.0, 5.323971748352051, 5.753434658050537
122062, -1.6414316892623901, -1.2490345239639282, -0.22433443367481232, 0.17474135756492615, -1.6012749671936035, -2.074695587158203, 0.0, 0.0, 0.0, 0.0, 5.198613166809082, 5.820928573608398
122082, -1.6426429748535156, -1.2341848611831665, -0.21504899859428406, 0.16312286257743835, -1.372968316078186, -2.172684669494629, 0.0, 0.0, 0.0, 0.0, 5.586721420288086, 5.577084541320801
122102, -1.6425212621688843, -1.2394919395446777, -0.21181407570838928, 0.1668594628572464, -1.5612785816192627, -2.0102176666259766, 0.0, 0.0, 0.0, 0.0, 5.670048713684082, 5.46256685256958
122124, -1.6424401998519897, -1.2353525161743164, -0.21950286626815796, 0.16321498155593872, -1.3680661916732788, -2.205317258834839, 0.0, 0.0, 0.0, 0.0, 5.6651129722595215, 5.4615797996521
122142, -1.6419028043746948, -1.2446070909500122, -0.22094415128231049, 0.17001637816429138, -1.574851155281067, -2.068101406097412, 0.0, 0.0, 0.0, 0.0, 5.2731122970581055, 5.70376443862915
122162, -1.6418536901474, -1.2452056407928467, -0.2217000275850296, 0.17060834169387817, -1.5954025983810425, -2.0550951957702637, 0.0, 0.0, 0.0, 0.0, 5.294595718383789, 5.698198318481445
122182, -1.6415938138961792, -1.2439347505569458, -0.03192976489663124, 0.17213685810565948, -1.488053321838379, -1.3735618591308594, 0.0, 0.0, 0.0, 0.0, 5.709320068359375, 5.456330299377441
